agent_id,count_last,best_reward,reward_last_average,solved_on,reward_target,force,gravity,max_speed,angle_perturbation
4427b1df-9cb8-4b41-829b-8df5ca2128f9,20,-83.0,-118.5,1635,-120.0,0.001,0.0025,0.07,-10
64382cd9-4cd7-4f66-a07b-1853387c7713,20,-87.0,-117.75,1491,-120.0,0.001,0.0025,0.07,-9
1e5d9bb4-f2cc-4be5-bd42-9e28914b8096,20,-84.0,-120.0,1917,-120.0,0.001,0.0025,0.07,-8
c021260a-c5a7-4d34-9e5f-766f189c05d5,20,-91.0,-119.8,2009,-120.0,0.001,0.0025,0.07,-7
4f87f6e7-6f1c-4244-9dbc-209b99033d47,20,-84.0,-119.2,2072,-120.0,0.001,0.0025,0.07,-6
0f75811b-0296-4bbe-9416-f70cfbdc7733,20,-89.0,-119.55,3129,-120.0,0.001,0.0025,0.07,-5
b115182a-4e7c-405f-ac7c-f02176207d98,20,-90.0,-117.85,3512,-120.0,0.001,0.0025,0.07,-4
59979064-42f1-4870-8788-1710aed98dfe,20,-92.0,-119.6,8957,-120.0,0.001,0.0025,0.07,-3
058ebdc7-8418-4948-91c4-c7059f6f3f34,20,-84.0,-120.0,9849,-120.0,0.001,0.0025,0.07,-2
9f513633-e333-467f-a46c-c0f8f85903e2,20,-89.0,-119.3,16156,-120.0,0.001,0.0025,0.07,-1
7d064c59-2b96-4621-badf-71046127bdd2,20,-88.0,-119.75,5359,-120.0,0.001,0.0025,0.07,0
733bca8d-95a0-47da-a365-a20b69725611,20,-89.0,-119.8,18654,-120.0,0.001,0.0025,0.07,1
6de51cff-3344-4197-b619-2162ed44f60f,20,-107.0,-137.1,20000,-120.0,0.001,0.0025,0.07,2
e2cd4f7f-72ae-4a4a-9207-1dde0bf21e87,20,-91.0,-165.9,20000,-120.0,0.001,0.0025,0.07,3
40c700a9-89c4-4936-b5f9-b26fb7a2386b,20,-110.0,-174.0,20000,-120.0,0.001,0.0025,0.07,4
976e0ad0-b28c-4dc4-8162-17c22bcec783,20,-110.0,-155.55,20000,-120.0,0.001,0.0025,0.07,5
367f9dfd-afe0-438c-80b8-9146df19ef63,20,-110.0,-168.95,20000,-120.0,0.001,0.0025,0.07,6
9e05630a-ffe3-4a3b-9a80-ec68859cca2c,20,-111.0,-169.9,20000,-120.0,0.001,0.0025,0.07,7
8a25f94d-cd01-48ff-b74b-bcc45a3bcc12,20,-112.0,-189.5,20000,-120.0,0.001,0.0025,0.07,8
635bce1a-80d9-4747-8ea3-0d1f0961b358,20,-117.0,-169.85,20000,-120.0,0.001,0.0025,0.07,9
b7ced56d-5faa-4dff-836b-ab63f207c760,20,-116.0,-160.3,20000,-120.0,0.001,0.0025,0.07,10
