agent_id,count_last,best_reward,reward_last_average,solved_on,reward_target,gravity,max_speed,max_torque,mass,length
3f35919b-a4fa-41d1-9895-7179ddac9863,20,-60,-116.65,2194,-120.0,10.0,8.0,2.0,1.0,1.0
e710df06-bc03-4428-a911-9a209155b912,20,-42,-119.55,4285,-120.0,10.0,8.0,2.0,1.0,2.0
41801956-8de2-498e-8947-1a8f07181beb,20,-67,-118.7,2735,-120.0,10.0,8.0,2.0,2.0,1.0
b058ebc9-ba05-4c8d-8d8f-f9c6249f5dc4,20,-58,-119.65,2365,-120.0,10.0,8.0,2.0,2.0,2.0
010750a0-0a05-4b6e-bb8a-d253cedbcb06,20,-60,-118.6,6972,-120.0,10.0,8.0,3.0,1.0,1.0
91146b25-ee40-4c74-af44-583aba11016e,20,-62,-118.9,2283,-120.0,10.0,8.0,3.0,1.0,2.0
2d7057ab-b391-4dec-969a-e2a6423887fa,20,-69,-119.5,1958,-120.0,10.0,8.0,3.0,2.0,1.0
16b084fe-d1d9-48d5-8e1c-bae571ae8445,20,-57,-119.85,5908,-120.0,10.0,8.0,3.0,2.0,2.0
8874f7c2-0cfd-4e4f-bab7-f8dc06250ddd,20,-57,-117.9,1735,-120.0,10.0,12.0,2.0,1.0,1.0
d26ccf29-d92f-47c5-831e-a3bafc934fdd,20,-53,-119.45,3350,-120.0,10.0,12.0,2.0,1.0,2.0
615de5c2-1158-43a6-bc3b-f07597bd9481,20,-58,-119.5,2805,-120.0,10.0,12.0,2.0,2.0,1.0
6424d0a6-5eff-4e37-9123-2e4856e3c966,20,-61,-116.1,1320,-120.0,10.0,12.0,2.0,2.0,2.0
3971f6ef-f004-4001-a038-0b1a16a23591,20,-46,-119.75,1862,-120.0,10.0,12.0,3.0,1.0,1.0
41ff43e9-c484-4f9d-8fb5-a375a2dba6dc,20,-58,-119.05,2345,-120.0,10.0,12.0,3.0,1.0,2.0
a0654361-2ba9-422e-8f58-06d337e6d2bd,20,-61,-119.25,1199,-120.0,10.0,12.0,3.0,2.0,1.0
96fc75b7-8af0-4053-b932-f9f5fc6255b3,20,-62,-117.85,490,-120.0,10.0,12.0,3.0,2.0,2.0
01cec2fc-7b0c-4701-a853-aa945bf920d9,20,-67,-119.6,941,-120.0,20.0,8.0,2.0,1.0,1.0
c0b48850-0afa-4487-bb77-378927fa03c9,20,-59,-118.15,2968,-120.0,20.0,8.0,2.0,1.0,2.0
c5a43a5a-48e8-4d29-b0da-41a1a80b8078,20,-69,-118.85,1344,-120.0,20.0,8.0,2.0,2.0,1.0
f1a49006-da7e-4f6c-a8e2-7adee21d1674,20,-67,-116.0,2694,-120.0,20.0,8.0,2.0,2.0,2.0
1e015b22-0492-4dbf-b794-68a905094d81,20,-58,-119.6,2342,-120.0,20.0,8.0,3.0,1.0,1.0
7c99d161-daca-4c10-a7cf-87b3afc568a7,20,-43,-119.15,2046,-120.0,20.0,8.0,3.0,1.0,2.0
242855ca-40b3-45bc-aae7-c8b5cab3ae9b,20,-65,-117.9,1587,-120.0,20.0,8.0,3.0,2.0,1.0
9ade14d3-0526-4217-9bcb-3fef470d6d69,20,-60,-116.85,509,-120.0,20.0,8.0,3.0,2.0,2.0
456b5f42-a190-43d0-9795-4318a38bb17f,20,-56,-119.25,1229,-120.0,20.0,12.0,2.0,1.0,1.0
f002ccfe-0600-44b1-9039-0bc4efcf119d,20,-47,-117.4,2894,-120.0,20.0,12.0,2.0,1.0,2.0
8aa1e079-7ebb-442b-8edb-02d563e950c3,20,-59,-119.75,3177,-120.0,20.0,12.0,2.0,2.0,1.0
9d175e9c-f3d6-4342-8740-9a1f40d303f9,20,-63,-119.85,866,-120.0,20.0,12.0,2.0,2.0,2.0
8c7ad099-c662-4079-bd3a-f634ca010d47,20,-58,-118.35,2763,-120.0,20.0,12.0,3.0,1.0,1.0
e11a1b65-4758-42db-84bd-a8aeb686015f,20,-74,-120.0,1727,-120.0,20.0,12.0,3.0,1.0,2.0
3de48d51-3d81-4815-bbad-2bb2470b0efb,20,-65,-120.0,1542,-120.0,20.0,12.0,3.0,2.0,1.0
2dd2c7e6-b0f8-4965-8597-b4a11e34ad92,20,-48,-117.8,6890,-120.0,20.0,12.0,3.0,2.0,2.0
